cx,cy,cz,a,b,theta,A1,A2,phi1,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
-0.1,2.3,11.7,7.8,6,27,2,-6,0,-9.849095756,-1.146222316,-1.28731794,-0.064577054,-1.496372896,-0.067727154,-1.40026974,-0.163924437,-1.001989143,-0.869032324,-0.158358424,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.1_cy=2.3_cz=11.7.log
0,2.3,11.7,7.8,6,27,2,-6,0,-9.847665034,-1.216308908,-1.216308908,-0.06618348,-1.451116875,-0.06618348,-1.451116875,-0.161157118,-0.933954509,-0.933954509,-0.161157118,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.0_cy=2.3_cz=11.7.log
0.9,2.4,11.5,7.8,6,27,2,-6,0,-9.84277673,-1.843837733,-0.439382502,-0.080697786,-0.368693501,-0.053407376,-1.810209472,-0.143310734,-0.53529113,-1.745895973,-0.198776343,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.9_cy=2.4_cz=11.5.log
-0.9,2.4,11.5,7.8,6,27,2,-6,0,-9.84277673,-0.439382502,-1.843837733,-0.053407376,-1.810209472,-0.080697786,-0.368693501,-0.198776343,-1.745895973,-0.53529113,-0.143310734,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.9_cy=2.4_cz=11.5.log
1,2.5,11.6,7.8,6,27,2,-6,0,-9.836005896,-1.75672052,-0.781563705,-0.0752761,-0.385855899,-0.047119726,-1.749184125,-0.129179209,-0.467250221,-1.746397981,-0.1773155,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=1.0_cy=2.5_cz=11.6.log
-1,2.5,11.6,7.8,6,27,2,-6,0,-9.836005896,-0.781563705,-1.75672052,-0.047119726,-1.749184125,-0.0752761,-0.385855899,-0.1773155,-1.746397981,-0.467250221,-0.129179209,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-1.0_cy=2.5_cz=11.6.log
1.1,2.4,11.7,7.8,6,27,2,-6,0,-9.830000628,-1.682931619,-0.83110562,-0.075966361,-0.797866415,-0.044609686,-1.573989609,-0.12515687,-0.409412625,-1.699755162,-0.177441003,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=1.1_cy=2.4_cz=11.7.log
-1.1,2.4,11.7,7.8,6,27,2,-6,0,-9.830000628,-0.83110562,-1.682931619,-0.044609686,-1.573989609,-0.075966361,-0.797866415,-0.177441003,-1.699755162,-0.409412625,-0.12515687,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-1.1_cy=2.4_cz=11.7.log
1.1,2.3,11.7,7.8,6,27,2,-6,0,-9.815216489,-1.707649238,-0.759625955,-0.078990959,-0.901675394,-0.046253762,-1.515524501,-0.129486688,-0.409293397,-1.675558377,-0.188409877,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=1.1_cy=2.3_cz=11.7.log
-1.1,2.3,11.7,7.8,6,27,2,-6,0,-9.815216489,-0.759625955,-1.707649238,-0.046253762,-1.515524501,-0.078990959,-0.901675394,-0.188409877,-1.675558377,-0.409293397,-0.129486688,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-1.1_cy=2.3_cz=11.7.log
0.9,2.5,11.7,7.8,6,27,2,-6,0,-9.808194653,-1.667375646,-0.934500442,-0.07157379,-0.671360399,-0.046542417,-1.668122383,-0.125947532,-0.474485411,-1.609512949,-0.164413895,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.9_cy=2.5_cz=11.7.log
-0.9,2.5,11.7,7.8,6,27,2,-6,0,-9.808194653,-0.934500442,-1.667375646,-0.046542417,-1.668122383,-0.07157379,-0.671360399,-0.164413895,-1.609512949,-0.474485411,-0.125947532,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.9_cy=2.5_cz=11.7.log
0.9,2.3,11.5,7.8,6,27,2,-6,0,-9.807573418,-1.808973278,-0.234004754,-0.084029864,-0.624849357,-0.055503259,-1.770130409,-0.148663394,-0.535197004,-1.720255914,-0.210924936,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=0.9_cy=2.3_cz=11.5.log
-0.9,2.3,11.5,7.8,6,27,2,-6,0,-9.807573418,-0.234004754,-1.808973278,-0.055503259,-1.770130409,-0.084029864,-0.624849357,-0.210924936,-1.720255914,-0.535197004,-0.148663394,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-0.9_cy=2.3_cz=11.5.log
1,2.5,11.7,7.8,6,27,2,-6,0,-9.785817647,-1.659261942,-0.903369671,-0.072358178,-0.652102117,-0.044797939,-1.653275497,-0.123443767,-0.440417894,-1.670594772,-0.165869719,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=1.0_cy=2.5_cz=11.7.log
-1,2.5,11.7,7.8,6,27,2,-6,0,-9.785817647,-0.903369671,-1.659261942,-0.044797939,-1.653275497,-0.072358178,-0.652102117,-0.165869719,-1.670594772,-0.440417894,-0.123443767,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-1.0_cy=2.5_cz=11.7.log
1.1,2.5,11.6,7.8,6,27,2,-6,0,-9.781155247,-1.743938142,-0.758396036,-0.075978911,-0.382210066,-0.045306222,-1.729141456,-0.126443265,-0.433603135,-1.784054856,-0.178990952,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=1.1_cy=2.5_cz=11.6.log
-1.1,2.5,11.6,7.8,6,27,2,-6,0,-9.781155247,-0.758396036,-1.743938142,-0.045306222,-1.729141456,-0.075978911,-0.382210066,-0.178990952,-1.784054856,-0.433603135,-0.126443265,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-1.1_cy=2.5_cz=11.6.log
1.2,2.4,11.6,7.8,6,27,2,-6,0,-9.777088983,-1.764005911,-0.673544133,-0.079649844,-0.590631237,-0.045086594,-1.641026502,-0.12798694,-0.402924171,-1.768555359,-0.192105911,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=1.2_cy=2.4_cz=11.6.log
-1.2,2.4,11.6,7.8,6,27,2,-6,0,-9.777088983,-0.673544133,-1.764005911,-0.045086594,-1.641026502,-0.079649844,-0.590631237,-0.192105911,-1.768555359,-0.402924171,-0.12798694,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-1.2_cy=2.4_cz=11.6.log
-1,2.4,11.5,7.8,6,27,2,-6,0,-9.771020962,-0.412073267,-1.859958465,-0.05144327,-1.798117355,-0.081488449,-0.324253242,-0.201355409,-1.784757667,-0.495632499,-0.140097883,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=-1.0_cy=2.4_cz=11.5.log
1,2.4,11.5,7.8,6,27,2,-6,0,-9.771014687,-1.859958465,-0.412066992,-0.081488449,-0.324253242,-0.05144327,-1.798117355,-0.140097883,-0.495632499,-1.784757667,-0.201355409,2,Done,BTBT_a=7.8_b=6_theta=27_A1=2_A2=-6_phi1=0_cx=1.0_cy=2.4_cz=11.5.log
