a,b,theta,A1,A2,E,E_p,E_t,machine_type,status,file_name
6,8.7,65,-2,33,-54.53862854,-7.509683254,-9.879815507,2,Done,tetracene_A1=-2_A2=33_a=6.0_b=8.7_theta=65.0_cx=0_cy=0_cz=0.log
6,8.7,65,-3,33,-54.05530528,-7.492520856,-9.767565891,2,Done,tetracene_A1=-3_A2=33_a=6.0_b=8.7_theta=65.0_cx=0_cy=0_cz=0.log
6,8.7,65,-1,33,-54.70437903,-7.506456598,-9.922866458,2,Done,tetracene_A1=-1_A2=33_a=6.0_b=8.7_theta=65.0_cx=0_cy=0_cz=0.log
6,8.6,64.5,-4,33,-52.66669342,-7.394340641,-9.469503034,1,Done,tetracene_A1=-4_A2=33_a=6.0_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
6,8.6,64.5,-5,33,-51.13731851,-7.335058516,-9.11680037,1,Done,tetracene_A1=-5_A2=33_a=6.0_b=8.6_theta=64.5_cx=0_cy=0_cz=0.log
6,8.6,65,-6,33,-49.84656559,-7.354865242,-8.784208775,1,Done,tetracene_A1=-6_A2=33_a=6.0_b=8.6_theta=65.0_cx=0_cy=0_cz=0.log
6,8.8,64,-2,33,-53.91916824,-7.433522366,-9.763030876,2,Done,tetracene_A1=-2_A2=33_a=6.0_b=8.8_theta=64.0_cx=0_cy=0_cz=0.log
6,8.8,64,-3,33,-53.36369136,-7.381371264,-9.650237209,2,Done,tetracene_A1=-3_A2=33_a=6.0_b=8.8_theta=64.0_cx=0_cy=0_cz=0.log
6,8.8,64,-1,33,-54.1752124,-7.473285164,-9.807160517,2,Done,tetracene_A1=-1_A2=33_a=6.0_b=8.8_theta=64.0_cx=0_cy=0_cz=0.log
6,8.6,65,-4,33,-53.11729329,-7.458768348,-9.549939148,1,Done,tetracene_A1=-4_A2=33_a=6.0_b=8.6_theta=65.0_cx=0_cy=0_cz=0.log
6,8.6,65,-5,33,-51.71385964,-7.411880801,-9.22252451,1,Done,tetracene_A1=-5_A2=33_a=6.0_b=8.6_theta=65.0_cx=0_cy=0_cz=0.log
6,8.8,64.5,-2,33,-54.07295337,-7.479933005,-9.778271839,2,Done,tetracene_A1=-2_A2=33_a=6.0_b=8.8_theta=64.5_cx=0_cy=0_cz=0.log
6,8.7,64,-6,33,-49.12220067,-7.175406167,-8.692847084,1,Done,tetracene_A1=-6_A2=33_a=6.0_b=8.7_theta=64.0_cx=0_cy=0_cz=0.log
6,8.8,64.5,-3,33,-53.60554125,-7.443562526,-9.679604049,2,Done,tetracene_A1=-3_A2=33_a=6.0_b=8.8_theta=64.5_cx=0_cy=0_cz=0.log
6,8.8,64.5,-1,33,-54.25025757,-7.500308255,-9.812410265,2,Done,tetracene_A1=-1_A2=33_a=6.0_b=8.8_theta=64.5_cx=0_cy=0_cz=0.log
6,8.7,64,-4,33,-52.44597556,-7.319394612,-9.451796584,1,Done,tetracene_A1=-4_A2=33_a=6.0_b=8.7_theta=64.0_cx=0_cy=0_cz=0.log
6,8.7,64,-5,33,-51.00737625,-7.249978201,-9.126854963,1,Done,tetracene_A1=-5_A2=33_a=6.0_b=8.7_theta=64.0_cx=0_cy=0_cz=0.log
6,8.8,65,-2,33,-54.16310396,-7.509683254,-9.785934364,2,Done,tetracene_A1=-2_A2=33_a=6.0_b=8.8_theta=65.0_cx=0_cy=0_cz=0.log
